Point ID,Station,Pnuemonic,Description,COM,RTU,Pg,Status P,Analog P,Relay P,Value,Scale,Type,Helper Column,IP Address,DNPAddress,DNP Point,,
32792,DB,6R,DB BKR 6 RECLOSER,3,7,6,8,,,,,STATUS,DB6RSTATUS,172.17.4.82,1,91,,
32792,DB,6R,BKR 6 RECLOSE OFF,3,7,,,,33,1,,RELAY,DB6RRELAY,172.17.4.82,1,29,,
32792,DB,6R,BKR 6 RECLOSE ON,3,7,,,,33,0,,RELAY,DB6RRELAY,172.17.4.82,1,29,,
32796,DB,6GT,DB BKR 6 GRND TRIP BLK,3,7,6,9,,,,,STATUS,DB6GTSTATUS,172.17.4.82,1,92,,
32796,DB,6GT,BKR 6 GRND TRIP BLK,3,7,,,,34,1,,RELAY,DB6GTRELAY,172.17.4.82,1,30,,
32796,DB,6GT,BKR 6 GRND TRIP ENABLE,3,7,,,,34,0,,RELAY,DB6GTRELAY,172.17.4.82,1,30,,
32797,DB,6LR,DB BKR 6 LOC/REM SW,3,7,6,10,,,,,STATUS,DB6LRSTATUS,172.17.4.82,1,93,,
32818,DB,W3784,DB TIE BKR 1 POS,3,7,6,11,,,,,STATUS,DBW3784STATUS,172.17.4.82,1,114,,
32818,DB,W3784,W3784 TIE BKR 1 TRIP,3,7,,,,35,1,,RELAY,DBW3784RELAY,172.17.4.82,1,38,,
32818,DB,W3784,W3784 TIE BKR 1 CLOSE,3,7,,,,35,0,,RELAY,DBW3784RELAY,172.17.4.82,1,38,,
32820,DB,3784LR,DB TIE BKR 1 LOC/REM,3,7,6,12,,,,,STATUS,DB3784LRSTATUS,172.17.4.82,1,115,,
32821,DB,35C201,DB BKR 4 CTRL COM,3,7,6,13,,,,,STATUS,DB35C201STATUS,172.17.4.82,1,118,,
32822,DB,35C202,DB BKR 5 CTRL COM,3,7,6,14,,,,,STATUS,DB35C202STATUS,172.17.4.82,1,119,,
32823,DB,35C203,DB BKR 6 CTRL COM,3,7,6,15,,,,,STATUS,DB35C203STATUS,172.17.4.82,1,120,,
